id,opp,oppBebouwd,hoogte,oppVerhouding,volVerhouding,zone,zoneId,type,typeId,mobi,volume,volNieuw,volNieuwGem
110,972.92,0.0,0.0,0.0,0.0,BOTERHOEK,14,landbouwgebied,5,5070.0,0.0,0.0,0.0
111,340.26,72.99,5.81,0.21451242,1.2463171,GALGENAKKER,22,woongebied,1,6952.0,424.07187,668.89386,543.3373
112,108.52,57.71,3.28,0.5317914,1.7442757,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,8001.0,189.28879,189.28879,332.33255
113,2121.42,398.29,3.0142539,0.1877469,0.56591684,ST JANSDREEF,23,woongebied,1,7244.0,1200.5472,1200.5472,1570.9618
114,127.29,79.26,3.0370564,0.6226727,1.891092,ZANDVLEUGE,21,woongebied,1,7169.0,240.7171,431.6363,345.31628
115,366.48,159.74,4.5527234,0.43587646,1.984425,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,8045.0,727.2521,619.3207,982.688
116,342.62,227.92,6.4512706,0.66522676,4.291558,NIJVERHEIDSKAAI,18,bedrijventerrein,4,7302.0,1470.3735,1470.3735,1679.9897
117,991.47,197.65,6.1473193,0.19935046,1.2254709,ST JANSDREEF,23,woongebied,1,7429.0,1215.0176,1598.9524,1350.1312
118,1165.47,241.71,5.3748226,0.20739274,1.1146992,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7916.0,1299.1484,1683.0833,1458.3896
119,360.26,122.47,5.68,0.33994892,1.9309098,NIJVERHEIDSKAAI,18,bedrijventerrein,4,7470.0,695.6296,1134.3157,901.9608
120,340.05,138.89,9.43,0.40843993,3.851589,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7924.0,1309.7328,1201.8014,1374.4464
121,337.81,0.0,0.0,0.0,0.0,GALGENAKKER,22,bedrijventerrein,4,6596.0,0.0,0.0,143.95468
122,6742.91,0.0,0.0,0.0,0.0,VROMBAUT,9,landbouwgebied,5,7285.0,0.0,0.0,0.8569708
123,43.13,92.84,9.64,2.152562,20.750698,EEKLO CENTRUM,17,woongebied,1,8028.0,894.9776,1085.8969,916.8777
124,594.06,143.99,4.6141143,0.24238293,1.1183826,GALGENAKKER,22,woongebied,1,6777.0,664.38635,664.38635,880.1427
125,397.87,99.31,2.72,0.24960414,0.67892325,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7835.0,270.1232,507.17047,459.1139
126,282.66,112.84,11.0,0.3992075,4.3912826,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,8023.0,1241.24,1133.3086,1305.2275
127,326.46,99.67,6.9855604,0.3053054,2.1327293,LEKESTRAAT   SCHAPERIJ,24,woongebied,1,7752.0,696.2508,941.07275,782.83527
128,1507.53,298.72,1.3143579,0.19815195,0.26044258,OOSTVELDSTRAAT,2,buitengebied,6,7291.0,392.625,901.7226,673.41486
129,59.66,59.66,9.78,1.0,9.78,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7959.0,583.4748,454.52087,598.0348
130,61.14,0.0,0.0,0.0,0.0,MOEIE,16,woonvernieuwingsgebied,2,7853.0,0.0,0.0,91.12258
131,206.31,79.55,0.0,0.38558483,0.0,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7684.0,0.0,190.9192,169.58205
132,228.08,80.1,0.0,0.35119256,0.0,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7624.0,0.0,190.9192,169.60114
133,177.94,0.0,0.0,0.0,0.0,LEKESTRAAT   SCHAPERIJ,24,woongebied,1,8001.0,0.0,0.0,48.03633
134,19.5,46.79,2.29,2.3994873,5.494826,MOEIE,16,woonvernieuwingsgebied,2,7608.0,107.1491,317.2418,277.12213
135,107.55,75.64,2.92,0.7033008,2.0536382,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7987.0,220.8688,220.8688,364.37738
136,474.7,431.56,8.270066,0.9091215,7.518495,LEKESTRAAT   SCHAPERIJ,24,woongebied,1,8029.0,3569.0298,1329.2178,3480.726
137,94.31,94.32,7.62,1.0001061,7.620808,GALGENAKKER,22,woonuitbreidingsgebied,3,6709.0,718.7184,773.81415,720.0099
138,153.64,152.23,9.31,0.9908227,9.22456,EEKLO CENTRUM,17,woongebied,1,8033.0,1417.2614,1702.2711,1445.7943
139,19615.23,0.0,0.0,0.0,0.0,BALGERHOEK,20,woongebied,1,6013.0,0.0,0.0,0.0
140,61.42,0.0,0.0,0.0,0.0,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7971.0,0.0,0.0,82.352234
141,181.26,112.56,6.997183,0.62098646,4.3451557,MOEIE,16,woonvernieuwingsgebied,2,7753.0,787.6029,1047.8105,846.9486
142,2632.48,0.0,0.0,0.0,0.0,MOERSTRAAT,15,landbouwgebied,5,5153.0,0.0,0.0,0.50422174
143,332.39,0.0,0.0,0.0,0.0,NIJVERHEIDSKAAI,18,bedrijventerrein,4,7328.0,0.0,0.0,84.10469
144,153.54,0.0,0.0,0.0,0.0,MOLENSTRAAT,27,woongebied,1,7910.0,0.0,0.0,50.317127
145,110.36,56.83,7.91,0.5149511,4.0732627,MOEIE,16,woonvernieuwingsgebied,2,7959.0,449.5253,659.618,545.20386
146,17461.49,0.0,0.0,0.0,0.0,VELDEKEN,6,landbouwgebied,5,6070.0,0.0,0.0,0.41261572
147,11.69,0.0,0.0,0.0,0.0,DE WAAI,13,buitengebied,6,5386.0,0.0,0.0,24.327375
148,1957.81,351.42,7.0064716,0.17949648,1.257637,ST JANSDREEF,23,woongebied,1,7244.0,2462.2144,2327.2622,2731.886
149,1808.37,0.0,0.0,0.0,0.0,VELDEKEN,6,landbouwgebied,5,7104.0,0.0,0.0,0.85717696
150,963.4,249.83,4.636332,0.25932115,1.2022989,ZANDVLEUGE,21,woongebied,1,7301.0,1158.2948,1542.2296,1420.0208
151,611.78,0.0,0.0,0.0,0.0,BALGERHOEK,20,bedrijventerrein,4,6321.0,0.0,0.0,924.4018
152,422.51,23.19,2.04,0.054886274,0.111968,NIJVERHEIDSKAAI,18,bedrijventerrein,4,7328.0,47.307602,166.54025,130.43645
153,225.82,84.18,3.7,0.37277478,1.3792666,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7906.0,311.466,521.5587,455.9789
154,1027.89,0.0,0.0,0.0,0.0,KRUISKENS,11,landbouwgebied,5,6050.0,0.0,0.0,0.0
155,184.09,91.47,10.33,0.49687654,5.132735,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7821.0,944.88513,944.88513,984.1565
156,2803.29,0.0,0.0,0.0,0.0,LEKESTRAAT   SCHAPERIJ,24,woongebied,1,7665.0,0.0,0.0,5.5502105
157,2906.87,918.27,7.45,0.31589648,2.3534286,,0,bedrijventerrein,4,6219.0,6841.1113,10711.844,7775.303
158,65.69,272.31,15.674414,4.1453795,64.976395,EEKLO CENTRUM,17,woongebied,1,8028.0,4268.2993,4268.2993,4214.166
159,20047.12,0.0,0.0,0.0,0.0,GALGENAKKER,22,bedrijventerrein,4,6166.0,0.0,0.0,0.0
160,21.0,0.0,0.0,0.0,0.0,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7921.0,0.0,743.2567,77.07516
161,41.83,61.46,11.01,1.4692804,16.176777,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7940.0,676.6746,676.6746,692.7394
162,130.39,59.03,7.87,0.45271876,3.5628965,MOLENSTRAAT,27,woongebied,1,7781.0,464.56607,655.4853,518.2962
163,413.96,102.75,8.58,0.2482124,2.1296623,ZANDVLEUGE,21,woongebied,1,7281.0,881.595,800.9616,998.2849
164,339.85,107.5,6.167654,0.316316,1.9509279,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,8029.0,663.0228,663.0228,775.99524
165,6369.95,2192.35,0.36,0.3441707,0.12390146,NIJVERHEIDSKAAI WEST,1,bedrijventerrein,4,6937.0,789.2461,17317.506,5260.937
166,766.29,145.22,0.0,0.18951051,0.0,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7705.0,0.0,383.93484,383.94873
167,741.4,219.14,10.605589,0.29557592,3.1347566,NIJVERHEIDSKAAI,18,bedrijventerrein,4,7497.0,2324.1086,2324.1086,2421.99
168,4828.55,0.0,0.0,0.0,0.0,MOERSTRAAT,15,landbouwgebied,5,4969.0,0.0,0.0,0.85717696
169,2516.47,0.0,0.0,0.0,0.0,VROMBAUT,9,landbouwgebied,5,7491.0,0.0,0.0,3.9329336
170,7941.01,3675.03,5.944433,0.46279126,2.7510319,VROMBOUTSTRAAT,8,landbouwgebied,5,6362.0,21845.97,21845.97,24236.947
171,323.19,140.06,8.9,0.43336737,3.8569694,MOLENSTRAAT,27,woongebied,1,7950.0,1246.5339,1588.7045,1324.582
172,712.56,0.0,0.0,0.0,0.0,BALGERHOEK,20,woongebied,1,6284.0,0.0,0.0,80.03985
173,316.0,103.73,6.9922733,0.3282595,2.2952802,LEKESTRAAT   SCHAPERIJ,24,bedrijventerrein,4,8033.0,725.30853,725.30853,888.9345
174,6937.73,1410.71,5.877862,0.20333885,1.1951976,,0,bedrijventerrein,4,6292.0,8291.958,3905.1611,14100.105
175,788.61,210.79,5.76,0.2672931,1.5396082,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7508.0,1214.1504,1598.0852,1350.1229
176,35.37,89.28,2.99,2.524173,7.547278,BALGERHOEK,20,woongebied,1,6111.0,266.9472,457.8664,320.50385
177,185.64,61.96,10.64,0.33376428,3.551252,NIJVERHEIDSKAAI,18,bedrijventerrein,4,7318.0,659.2544,755.8866,622.97626
178,879.95,2809.42,7.6,3.192704,24.264551,ZUIDMOERSTRAAT GENTSESTEENWEG,19,bedrijventerrein,4,7801.0,21351.592,19359.568,21198.926
179,5942.06,0.0,0.0,0.0,0.0,MOERSTRAAT,15,landbouwgebied,5,4969.0,0.0,0.0,0.6347933
180,135.85,114.0,5.9156423,0.8391608,4.964175,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7575.0,674.38324,674.38324,744.20135
181,188.14,82.62,8.880456,0.4391411,3.8997731,NIJVERHEIDSKAAI,18,bedrijventerrein,4,7318.0,733.7033,491.7339,699.61127
182,995.9,135.46,6.098404,0.13601768,0.8294907,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7715.0,826.08984,1210.0247,940.2195
183,281.91,61.61,6.93,0.21854493,1.5145164,GALGENAKKER,22,woongebied,1,6926.0,426.9573,426.9573,545.1104
184,120.37,334.11,8.47,2.7756915,23.510107,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,8015.0,2829.9116,3324.8909,2837.436
185,2993.94,0.0,0.0,0.0,0.0,MOLENSTRAAT,27,woongebied,1,7871.0,0.0,0.0,12.736437
186,189.45,157.43,6.3,0.8309844,5.235202,BALGERHOEK,20,woongebied,1,6111.0,991.80896,1276.8187,1095.0533
187,114.02,14.07,2.61,0.12339941,0.32207245,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,8023.0,36.7227,36.7227,179.2548
188,18449.57,0.0,0.0,0.0,0.0,NIJVERHEIDSKAAI WEST,1,bedrijventerrein,4,7217.0,0.0,0.0,144.60817
189,528.64,186.92,3.26,0.35358655,1.1526922,GALGENAKKER,22,woonuitbreidingsgebied,3,6880.0,609.3592,822.6498,822.5975
190,25.27,0.0,0.0,0.0,0.0,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7940.0,0.0,0.0,80.56843
