shapeid,OIDN,oppPerceel,oppBebouwd,volume,hoogte,woongebied,woonvernie,woonuitbre,industrie,landbouw,zone,zoneId,Mobiscore,X,Y
"13436","978409",2901.69,0.000000,0.000000,,,,,,,HET LEEN,"5","5908",93389.5034370000,206655.1765800000
"13437","986893",14129.19,0.000000,0.000000,,,,,,Grasland,MOERSTRAAT,"15","4759",93715.8128620000,212145.8985900000
"13438","5136460",364.60,193.680000,1366.683000,7.056,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","8036",94583.5862660000,208110.6948900000
"13439","5136427",13402.65,119.890000,753.832000,6.288,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","7935",94214.1559900000,209042.9822800000
"13440","983768",1892.98,199.740000,1715.767000,8.590,,,,,Grasland,OOSTVELDSTRAAT,"2","6534",96831.8376390000,208551.8648500000
"13441","986647",3033.66,0.000000,0.000000,,,,,,Grasland,MOERSTRAAT,"15","5002",94359.2532730000,212283.5986500000
"13442","2312448",7506.56,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,VROMBAUT,"9","6268",96866.3050830000,208834.4755800000
"13443","5136374",104.44,49.710000,306.214000,6.160,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7906",93593.3391180000,208290.6092900000
"13444","983966",773.83,0.000000,0.000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7467",95293.5618760000,207265.9479600000
"13445","5136452",330.67,86.840000,651.300000,7.500,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","7919",94457.7812390000,208768.2227600000
"13446","5136346",5033.34,1653.550000,9766.061000,5.906,NIJVERHEIDSKAAI,NIJVERHEIDSKAAI,,Tieltsesteenweg 2,,NIJVERHEIDSKAAI,"18","7360",92849.7198970000,207884.2652100000
"13447","985906",7070.44,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,KRUISKENS,"11","5502",96092.1731960000,210343.4974800000
"13448","5136476",1694.38,151.810000,752.063000,4.954,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,"28","8029",94891.7288400000,208292.9122300000
"13449","3808997",237.21,0.000000,0.000000,,,,,,Grasland,VELDEKEN,"6","5582",92842.0093060000,206291.1375200000
"13450","2311980",977.67,0.000000,0.000000,,,,,,Grasland,OOSTVELD,"7","6613",96886.8356270000,208339.9738500000
"13451","5136492",1811.78,339.800000,3389.280000,9.974,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,"28","7627",95379.8060180000,208347.6602900000
"13452","5136330",3.17,0.000000,0.000000,,BALGERHOEK,,,,,BALGERHOEK,"20","5445",90511.9570650000,211424.7452000000
"13453","5136429",283.33,148.960000,1225.136000,8.225,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","8008",94113.1541470000,207959.5877000000
"13454","987156",4739.60,0.000000,0.000000,,,,,,Grasland,MOERSTRAAT,"15","4759",93898.3936270000,212194.6043500000
"13455","2311821",717.69,0.000000,0.000000,,,,,,Grasland,OOSTVELD,"7","6200",96821.6926000000,207287.2416700000
"13456","983610",4363.39,0.000000,0.000000,,,,,,Grasland,OOSTVELD,"7","6302",96827.6847420000,207822.3187300000
"13457","5136418",9414.73,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,SINT-JANS VELD,"12","6024",93839.5100690000,210420.7514400000
"13458","982896",6832.37,0.000000,0.000000,,,,,Pokmoere,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,POKMOERE,"4","7124",94424.6811130000,206856.0401700000
"13459","5136497",899.50,149.910000,719.970000,4.803,,,,,,DE WAAI,"13","5421",95749.1228410000,211986.4344400000
"13460","2312522",1400.61,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,VROMBAUT,"9","6120",96652.8634210000,209666.7357600000
"13461","5136379",79.48,76.790000,616.939000,8.034,MOEIE,MOEIE,,,,MOEIE,"16","8011",93607.4824570000,208553.7822700000
"13462","5136468",221.15,86.990000,793.349000,9.120,LEKESTRAAT   SCHAPERIJ,,,Lekestraat,,LEKESTRAAT   SCHAPERIJ,"24","8033",94807.7127070000,208163.5773000000
"13463","5136486",11732.77,44.560000,88.229000,1.980,,,,,Aardappelen,BUS,"10","6270",95362.2596050000,210365.8058500000
"13464","5136389",212.73,57.590000,354.754000,6.160,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7936",93628.0753260000,208223.2305500000
"13465","5136367",9162.41,1390.650000,7836.583000,5.635,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7889",93608.4616100000,208222.3994100000
"13466","5136373",130.19,51.370000,316.439000,6.160,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7868",93592.9295050000,208182.8256000000
"13467","2311987",726.29,0.000000,0.000000,,,,,,,OOSTVELDSTRAAT,"2","6534",96854.3989200000,208568.0283100000
"13468","5136332",29244.68,0.000000,0.000000,,BALGERHOEK,,,,Grasland,BOTERHOEK,"14","5842",91528.5386380000,211084.1961200000
"13469","976730",146.87,112.510000,1092.421000,9.710,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","8022",94050.4092070000,208709.9185100000
"13470","5136493",512.15,0.000000,0.000000,,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,"28","7627",95390.2134580000,208394.5449700000
"13471","1828861",2131.77,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,HOGE BOSSTRAAT,"3","7238",95534.3601890000,207210.4085200000
"13472","5136402",117.88,49.830000,302.966000,6.080,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7889",93639.3368870000,208198.1753800000
"13473","5136378",130.65,50.900000,309.472000,6.080,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7906",93599.2688710000,208210.1459000000
"13474","982903",59762.07,15.080000,34.232000,2.270,,,,SBPA zvb Eeklo / Garage Ghyselinck bvba,,POKMOERE,"4","7110",94720.7884780000,206795.5943400000
"13475","5136355",27.18,0.000000,0.000000,,MOLENSTRAAT,,,,,MOLENSTRAAT,"27","7840",93240.9120530000,208951.1911900000
"13476","979014",299.52,0.000000,0.000000,,,,,,Grasland,VELDEKEN,"6","5615",92948.3696600000,206354.8207400000
"13477","2305785",2579.78,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,KRUISKENS,"11","5283",96337.6754600000,210193.0406700000
"13478","5136362",912.12,193.870000,2072.470000,10.690,MOEIE,MOEIE,,,,MOEIE,"16","7890",93390.4937140000,208677.5019600000
"13479","1071695",797.49,0.000000,0.000000,,NIJVERHEIDSKAAI,NIJVERHEIDSKAAI,,Tieltsesteenweg 2,,NIJVERHEIDSKAAI,"18","7360",92824.1994320000,207909.5235400000
"13480","985911",6186.87,0.000000,0.000000,,,,,,Aardappelen,KRUISKENS,"11","5287",96426.5959200000,210048.0799500000
